City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Zyryanka,RU,2021-07-20 17:03:19,65.75,150.85,61.48,77,90,4.27
229,Ferme-Neuve,CA,2021-07-20 17:03:19,46.7001,-75.4493,60.96,85,100,6.17
230,Delijan,IR,2021-07-20 17:03:19,33.9905,50.6838,87.69,17,2,7.63
231,Inverell,AU,2021-07-20 17:03:20,-29.7833,151.1167,43.11,90,79,7.0
232,Vila,PT,2021-07-20 17:03:21,42.0304,-8.1588,77.74,47,62,7.0
233,Omboue,GA,2021-07-20 17:03:21,-1.5746,9.2618,75.07,78,27,12.68
234,Ulladulla,AU,2021-07-20 17:03:22,-35.35,150.4667,50.09,70,100,18.5
235,Manavalakurichi,IN,2021-07-20 17:03:22,8.1333,77.3,82.49,80,94,14.54
236,Acapulco,MX,2021-07-20 17:00:13,16.8634,-99.8901,86.16,64,100,2.89
237,Alice Springs,AU,2021-07-20 17:02:51,-23.7,133.8833,45.95,57,5,0.0
238,Jardim,BR,2021-07-20 17:02:30,-21.4803,-56.1381,75.97,14,96,3.15
239,Jimma,ET,2021-07-20 17:01:12,7.6667,36.8333,60.89,98,94,2.57
240,Ola,RU,2021-07-20 17:03:23,59.5833,151.2833,51.13,95,98,2.57
241,Staraya Poltavka,RU,2021-07-20 17:03:24,50.4772,46.4814,85.17,40,9,3.4
242,Cayenne,GF,2021-07-20 17:00:07,4.9333,-52.3333,89.64,77,36,4.0
243,Aginskoye,RU,2021-07-20 17:03:24,51.1,114.53,64.69,69,100,3.2
244,Hasaki,JP,2021-07-20 17:03:25,35.7333,140.8333,73.8,85,16,4.92
245,Baie-Comeau,CA,2021-07-20 17:03:25,49.2168,-68.1489,63.3,81,98,8.39
246,Saint-Leu,RE,2021-07-20 17:03:25,-21.15,55.2833,70.66,68,26,3.98
247,Cukai,MY,2021-07-20 17:03:25,4.25,103.4167,80.31,87,99,5.53
248,Talnakh,RU,2021-07-20 17:03:26,69.4865,88.3972,52.93,73,1,7.58
249,Brandfort,ZA,2021-07-20 17:03:26,-28.7001,26.4597,48.04,25,87,6.24
250,Chapais,CA,2021-07-20 17:03:26,49.7834,-74.8492,68.0,31,1,8.34
251,Adrar,MR,2021-07-20 17:03:27,20.5022,-10.0711,112.1,5,53,21.05
252,Yar-Sale,RU,2021-07-20 17:03:27,66.8333,70.8333,65.82,53,89,12.01
253,Rodrigues Alves,BR,2021-07-20 17:03:28,-7.738,-72.6509,84.06,38,17,3.8
254,Puerto Del Rosario,ES,2021-07-20 17:03:28,28.5004,-13.8627,78.48,73,0,17.27
255,San Cristobal,VE,2021-07-20 17:03:28,7.7669,-72.225,80.78,53,34,9.08
256,Murupara,NZ,2021-07-20 17:03:29,-38.4667,176.7,42.28,100,100,0.85
257,San Quintin,MX,2021-07-20 17:03:29,30.4833,-115.95,74.98,70,55,11.1
258,Namatanai,PG,2021-07-20 17:03:29,-3.6667,152.4333,77.95,85,100,4.61
259,Namibe,AO,2021-07-20 17:03:30,-15.1961,12.1522,66.65,83,15,11.9
260,Altamont,US,2021-07-20 17:03:30,42.2068,-121.7372,74.39,49,1,5.01
261,Tabou,CI,2021-07-20 17:03:31,4.423,-7.3528,78.66,68,62,8.68
262,San Matias,BO,2021-07-20 17:03:31,-16.3667,-58.4,83.07,10,62,4.68
263,Bouza,NE,2021-07-20 17:03:31,14.4229,6.0428,95.31,36,29,9.37
264,Saint Anthony,US,2021-07-20 17:03:32,45.0205,-93.218,86.94,59,1,3.0
265,Kupang,ID,2021-07-20 17:03:32,-10.1667,123.5833,75.6,84,29,11.61
266,Naze,JP,2021-07-20 17:03:32,28.3667,129.4833,76.69,90,100,31.56
267,Sangar,RU,2021-07-20 17:03:33,63.9242,127.4739,65.25,60,100,7.05
268,Tuatapere,NZ,2021-07-20 17:03:33,-46.1333,167.6833,42.82,91,100,6.31
269,Necochea,AR,2021-07-20 17:03:34,-38.5473,-58.7368,59.04,40,74,15.97
270,Coquimbo,CL,2021-07-20 17:03:34,-29.9533,-71.3436,53.33,82,20,5.75
271,Urk,NL,2021-07-20 17:03:34,52.6625,5.6014,75.04,57,14,5.75
272,Morrope,PE,2021-07-20 17:03:35,-6.5417,-80.0111,73.51,58,5,10.49
273,Pangnirtung,CA,2021-07-20 17:03:35,66.1451,-65.7125,44.6,93,90,4.61
274,Nioro,GM,2021-07-20 17:03:36,13.35,-15.75,91.89,44,98,1.81
275,Kavaratti,IN,2021-07-20 17:03:36,10.5669,72.642,82.13,78,72,15.46
276,Biak,ID,2021-07-20 17:03:36,-0.9131,122.8766,74.61,88,54,6.44
277,Mwene-Ditu,CD,2021-07-20 17:03:37,-7.0,23.45,76.86,28,100,1.72
278,Laguna,US,2021-07-20 17:03:37,38.421,-121.4238,96.66,52,1,10.36
279,Cotonou,BJ,2021-07-20 16:59:56,6.3654,2.4183,82.38,74,40,16.11
280,Roblin,CA,2021-07-20 17:00:06,51.23,-101.3565,64.0,80,100,13.62
281,Port Lavaca,US,2021-07-20 17:00:09,28.615,-96.6261,89.31,79,75,4.61
282,Rosita,NI,2021-07-20 17:03:37,13.9268,-84.4032,81.25,86,89,4.81
283,Sampit,ID,2021-07-20 17:03:38,-2.5333,112.95,73.45,99,58,2.21
284,Maragogi,BR,2021-07-20 17:03:38,-9.0122,-35.2225,79.59,69,28,10.04
285,Egvekinot,RU,2021-07-20 17:03:38,66.3167,-179.1667,34.93,95,100,8.19
286,Araouane,ML,2021-07-20 17:03:39,18.9048,-3.5265,113.05,9,97,10.89
287,Novaya Mayna,RU,2021-07-20 17:03:39,54.15,49.75,69.85,93,76,2.73
288,Kuvshinovo,RU,2021-07-20 17:03:40,57.0295,34.1725,65.26,60,32,6.02
289,Komsomolskiy,UZ,2021-07-20 17:03:40,40.4272,71.7189,83.12,28,93,9.22
290,Iquitos,PE,2021-07-20 17:00:53,-3.7481,-73.2472,85.3,48,51,3.96
291,Tacuarembo,UY,2021-07-20 17:01:09,-31.7333,-55.9833,57.7,41,34,10.33
292,Horsham,GB,2021-07-20 17:03:40,51.064,-0.3272,87.01,32,20,8.05
293,Teknaf,BD,2021-07-20 17:03:41,20.8624,92.3058,79.09,89,100,6.98
